"Step","hl256-128-64_bs64_lr0.001_optadam - train_loss","hl256-128-64_bs64_lr0.001_optadam - train_loss__MIN","hl256-128-64_bs64_lr0.001_optadam - train_loss__MAX"
"0","1.1266501074715105","0.4982678181696928","2.792421748549797"
"1","0.9534074714438882","0.3686109694886287","2.3027355293772374"
"2","0.9366804196932408","0.33235180469666703","2.302721538933245"
"3","0.9223927027268812","0.3043907569871875","2.3027364875656398"
"4","0.912548079949708","0.28832744031679247","2.302694689370678"
"5","0.905457568486","0.27279157917577707","2.30269486998538"
"6","0.9004631710294471","0.26256359588460837","2.302703957061954"
"7","0.8929323780146816","0.2485709732925547","2.3027265592268638"
"8","0.8904717240918497","0.24298221360643155","2.3027208440981637"
"9","0.8854660744841134","0.22930794386521508","2.3027155578167395"
"10","0.881490690095515","0.22118476613764068","2.302733432699587"
"11","0.8785578102974837","0.2133625413602035","2.3027006817322464"
"12","0.876547575029695","0.20766541820745246","2.302720329216635"
"13","0.8728949078428029","0.19985424413051076","2.3027399710726018"
"14","0.8697980179394313","0.18916860216175893","2.3026926643457437"
"15","0.8686315720342263","0.18651655827304736","2.302737480030507"
"16","0.8675000757961158","0.18161647873707792","2.3027196447791654"
"17","0.8647133017607436","0.1713350244155093","2.302717746449382"
"18","0.8632403096546716","0.16543953382088175","2.302722146063034"
"19","0.8618767536080849","0.1638237176670992","2.302718162296464"
