"Step","hl128-64_bs64_lr0.001_optnadam - val_loss","hl128-64_bs64_lr0.001_optnadam - val_loss__MIN","hl128-64_bs64_lr0.001_optnadam - val_loss__MAX","hl128-64_bs64_lr0.001_optadam - val_loss","hl128-64_bs64_lr0.001_optadam - val_loss__MIN","hl128-64_bs64_lr0.001_optadam - val_loss__MAX","hl128-64_bs64_lr0.001_optrmsprop - val_loss","hl128-64_bs64_lr0.001_optrmsprop - val_loss__MIN","hl128-64_bs64_lr0.001_optrmsprop - val_loss__MAX","hl128-64_bs64_lr0.001_optnesterov - val_loss","hl128-64_bs64_lr0.001_optnesterov - val_loss__MIN","hl128-64_bs64_lr0.001_optnesterov - val_loss__MAX","hl128-64_bs64_lr0.001_optmomentum - val_loss","hl128-64_bs64_lr0.001_optmomentum - val_loss__MIN","hl128-64_bs64_lr0.001_optmomentum - val_loss__MAX","hl128-64_bs64_lr0.001_optsgd - val_loss","hl128-64_bs64_lr0.001_optsgd - val_loss__MIN","hl128-64_bs64_lr0.001_optsgd - val_loss__MAX"
"0","0.5282988857935256","0.5282988857935256","0.5282988857935256","0.5317466346262161","0.5317466346262161","0.5317466346262161","0.7221824354439466","0.7221824354439466","0.7221824354439466","2.1627431685085567","2.1627431685085567","2.1627431685085567","2.1095799023711903","2.1095799023711903","2.1095799023711903","2.330644210708303","2.330644210708303","2.330644210708303"
"1","0.5140169131664241","0.5140169131664241","0.5140169131664241","0.5523555262667563","0.5523555262667563","0.5523555262667563","0.5331858545053869","0.5331858545053869","0.5331858545053869","1.9828402935547147","1.9828402935547147","1.9828402935547147","1.9136385230366957","1.9136385230366957","1.9136385230366957","2.2901849197953976","2.2901849197953976","2.2901849197953976"
"2","0.5083823719453928","0.5083823719453928","0.5083823719453928","0.5263792531092906","0.5263792531092906","0.5263792531092906","0.5668120194382354","0.5668120194382354","0.5668120194382354","1.8303071386725225","1.8303071386725225","1.8303071386725225","1.7442944270446168","1.7442944270446168","1.7442944270446168","2.2553425949024293","2.2553425949024293","2.2553425949024293"
"3","0.5073991524486912","0.5073991524486912","0.5073991524486912","0.5152766961192345","0.5152766961192345","0.5152766961192345","0.573211943008095","0.573211943008095","0.573211943008095","1.6997059719798508","1.6997059719798508","1.6997059719798508","1.5978995260641222","1.5978995260641222","1.5978995260641222","2.2246032408815406","2.2246032408815406","2.2246032408815406"
"4","0.5066662794707287","0.5066662794707287","0.5066662794707287","0.5125945024241444","0.5125945024241444","0.5125945024241444","0.7489518382771553","0.7489518382771553","0.7489518382771553","1.5825753085810303","1.5825753085810303","1.5825753085810303","1.4776048235408181","1.4776048235408181","1.4776048235408181","2.1968262367367344","2.1968262367367344","2.1968262367367344"
"5","0.5043958279218385","0.5043958279218385","0.5043958279218385","0.49116245223926575","0.49116245223926575","0.49116245223926575","0.5247091804458992","0.5247091804458992","0.5247091804458992","1.4767805017958457","1.4767805017958457","1.4767805017958457","1.3780353140678216","1.3780353140678216","1.3780353140678216","2.171299463108277","2.171299463108277","2.171299463108277"
"6","0.4839937395727886","0.4839937395727886","0.4839937395727886","0.49460689268621794","0.49460689268621794","0.49460689268621794","0.5471955300414844","0.5471955300414844","0.5471955300414844","1.38536991773309","1.38536991773309","1.38536991773309","1.293340206518132","1.293340206518132","1.293340206518132","2.1474341144064057","2.1474341144064057","2.1474341144064057"
"7","0.5163232462531445","0.5163232462531445","0.5163232462531445","0.49671157799920396","0.49671157799920396","0.49671157799920396","0.6114542593736031","0.6114542593736031","0.6114542593736031","1.3082728027156854","1.3082728027156854","1.3082728027156854","1.2233070830446795","1.2233070830446795","1.2233070830446795","2.124865749114017","2.124865749114017","2.124865749114017"
"8","0.48760025995738004","0.48760025995738004","0.48760025995738004","0.4856284318609273","0.4856284318609273","0.4856284318609273","0.5703121508728914","0.5703121508728914","0.5703121508728914","1.2433524303390575","1.2433524303390575","1.2433524303390575","1.1659965772019032","1.1659965772019032","1.1659965772019032","2.1033386041679085","2.1033386041679085","2.1033386041679085"
"9","0.5039121063861393","0.5039121063861393","0.5039121063861393","0.482764147938413","0.482764147938413","0.482764147938413","0.5704191240013982","0.5704191240013982","0.5704191240013982","1.1886745047854679","1.1886745047854679","1.1886745047854679","1.1187040117683087","1.1187040117683087","1.1187040117683087","2.0826879787912205","2.0826879787912205","2.0826879787912205"
"10","0.48079011448271286","0.48079011448271286","0.48079011448271286","0.4985871752258929","0.4985871752258929","0.4985871752258929","0.5142211950827852","0.5142211950827852","0.5142211950827852","1.142152002474216","1.142152002474216","1.142152002474216","1.0790533682273125","1.0790533682273125","1.0790533682273125","2.062747447589025","2.062747447589025","2.062747447589025"
"11","0.4844764220968979","0.4844764220968979","0.4844764220968979","0.48883895899612817","0.48883895899612817","0.48883895899612817","0.5076313540287543","0.5076313540287543","0.5076313540287543","1.101535420157233","1.101535420157233","1.101535420157233","1.0451488008270335","1.0451488008270335","1.0451488008270335","2.0434056585038247","2.0434056585038247","2.0434056585038247"
"12","0.5215979203390578","0.5215979203390578","0.5215979203390578","0.500393047728254","0.500393047728254","0.500393047728254","0.575322370975469","0.575322370975469","0.575322370975469","1.0661427549440703","1.0661427549440703","1.0661427549440703","1.0157431897682991","1.0157431897682991","1.0157431897682991","2.024544875804007","2.024544875804007","2.024544875804007"
"13","0.47553317743137263","0.47553317743137263","0.47553317743137263","0.4968352043105697","0.4968352043105697","0.4968352043105697","0.4956667844943606","0.4956667844943606","0.4956667844943606","1.0348163157211718","1.0348163157211718","1.0348163157211718","0.9908390446400068","0.9908390446400068","0.9908390446400068","2.006104158284291","2.006104158284291","2.006104158284291"
"14","0.4875407063463277","0.4875407063463277","0.4875407063463277","0.4741056434714711","0.4741056434714711","0.4741056434714711","0.5168421495529169","0.5168421495529169","0.5168421495529169","1.0072175932438472","1.0072175932438472","1.0072175932438472","0.9682146032201903","0.9682146032201903","0.9682146032201903","1.9880490859320314","1.9880490859320314","1.9880490859320314"
"15","0.4930466205455749","0.4930466205455749","0.4930466205455749","0.4784237379689811","0.4784237379689811","0.4784237379689811","0.5628611101012374","0.5628611101012374","0.5628611101012374","0.983191371120663","0.983191371120663","0.983191371120663","0.9489579286007166","0.9489579286007166","0.9489579286007166","1.9703715289019275","1.9703715289019275","1.9703715289019275"
"16","0.47226758004318165","0.47226758004318165","0.47226758004318165","0.5016967755013526","0.5016967755013526","0.5016967755013526","0.50473474070311","0.50473474070311","0.50473474070311","0.9614493826147703","0.9614493826147703","0.9614493826147703","0.9311799502840356","0.9311799502840356","0.9311799502840356","1.9530690383007818","1.9530690383007818","1.9530690383007818"
"17","0.48510940931002006","0.48510940931002006","0.48510940931002006","0.4694964880673355","0.4694964880673355","0.4694964880673355","0.5136062312039169","0.5136062312039169","0.5136062312039169","0.94227412847477","0.94227412847477","0.94227412847477","0.9155008185122333","0.9155008185122333","0.9155008185122333","1.936150515369678","1.936150515369678","1.936150515369678"
