"Step","hl128-64_bs64_lr0.001_optnadam - val_accuracy","hl128-64_bs64_lr0.001_optnadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optnadam - val_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - val_accuracy","hl128-64_bs64_lr0.001_optadam - val_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - val_accuracy__MAX","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy__MIN","hl128-64_bs64_lr0.001_optrmsprop - val_accuracy__MAX","hl128-64_bs64_lr0.001_optnesterov - val_accuracy","hl128-64_bs64_lr0.001_optnesterov - val_accuracy__MIN","hl128-64_bs64_lr0.001_optnesterov - val_accuracy__MAX","hl128-64_bs64_lr0.001_optmomentum - val_accuracy","hl128-64_bs64_lr0.001_optmomentum - val_accuracy__MIN","hl128-64_bs64_lr0.001_optmomentum - val_accuracy__MAX","hl128-64_bs64_lr0.001_optsgd - val_accuracy","hl128-64_bs64_lr0.001_optsgd - val_accuracy__MIN","hl128-64_bs64_lr0.001_optsgd - val_accuracy__MAX"
"10","0.8361666666666666","0.8361666666666666","0.8361666666666666","0.83","0.83","0.83","0.8235","0.8235","0.8235","0.6583333333333333","0.6583333333333333","0.6583333333333333","0.6611666666666667","0.6611666666666667","0.6611666666666667","0.2615","0.2615","0.2615"
"11","0.8345","0.8345","0.8345","0.8395","0.8395","0.8395","0.8286666666666667","0.8286666666666667","0.8286666666666667","0.6631666666666667","0.6631666666666667","0.6631666666666667","0.6658333333333334","0.6658333333333334","0.6658333333333334","0.277","0.277","0.277"
"12","0.8141666666666667","0.8141666666666667","0.8141666666666667","0.832","0.832","0.832","0.7935","0.7935","0.7935","0.6693333333333333","0.6693333333333333","0.6693333333333333","0.6726666666666666","0.6726666666666666","0.6726666666666666","0.292","0.292","0.292"
"13","0.8371666666666666","0.8371666666666666","0.8371666666666666","0.8331666666666667","0.8331666666666667","0.8331666666666667","0.8303333333333334","0.8303333333333334","0.8303333333333334","0.6741666666666667","0.6741666666666667","0.6741666666666667","0.6758333333333333","0.6758333333333333","0.6758333333333333","0.30866666666666664","0.30866666666666664","0.30866666666666664"
"14","0.8363333333333334","0.8363333333333334","0.8363333333333334","0.84","0.84","0.84","0.8175","0.8175","0.8175","0.6813333333333333","0.6813333333333333","0.6813333333333333","0.681","0.681","0.681","0.3273333333333333","0.3273333333333333","0.3273333333333333"
"15","0.8308333333333333","0.8308333333333333","0.8308333333333333","0.8405","0.8405","0.8405","0.8033333333333333","0.8033333333333333","0.8033333333333333","0.6853333333333333","0.6853333333333333","0.6853333333333333","0.6843333333333333","0.6843333333333333","0.6843333333333333","0.342","0.342","0.342"
"16","0.8401666666666666","0.8401666666666666","0.8401666666666666","0.83","0.83","0.83","0.8218333333333333","0.8218333333333333","0.8218333333333333","0.6886666666666666","0.6886666666666666","0.6886666666666666","0.6891666666666667","0.6891666666666667","0.6891666666666667","0.3551666666666667","0.3551666666666667","0.3551666666666667"
"17","0.834","0.834","0.834","0.8431666666666666","0.8431666666666666","0.8431666666666666","0.8241666666666667","0.8241666666666667","0.8241666666666667","0.694","0.694","0.694","0.6926666666666667","0.6926666666666667","0.6926666666666667","0.37033333333333335","0.37033333333333335","0.37033333333333335"
"18","0.8396666666666667","0.8396666666666667","0.8396666666666667","0.8341666666666666","0.8341666666666666","0.8341666666666666","0.825","0.825","0.825","0.698","0.698","0.698","0.6965","0.6965","0.6965","0.38416666666666666","0.38416666666666666","0.38416666666666666"
"19","0.8361666666666666","0.8361666666666666","0.8361666666666666","0.8373333333333334","0.8373333333333334","0.8373333333333334","0.8171666666666667","0.8171666666666667","0.8171666666666667","0.7021666666666667","0.7021666666666667","0.7021666666666667","0.7001666666666667","0.7001666666666667","0.7001666666666667","0.397","0.397","0.397"
