"Step","hl128-64_bs64_lr0.001_optnadam - train_accuracy","hl128-64_bs64_lr0.001_optnadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optnadam - train_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - train_accuracy","hl128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - train_accuracy__MAX","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy__MIN","hl128-64_bs64_lr0.001_optrmsprop - train_accuracy__MAX","hl128-64_bs64_lr0.001_optnesterov - train_accuracy","hl128-64_bs64_lr0.001_optnesterov - train_accuracy__MIN","hl128-64_bs64_lr0.001_optnesterov - train_accuracy__MAX","hl128-64_bs64_lr0.001_optmomentum - train_accuracy","hl128-64_bs64_lr0.001_optmomentum - train_accuracy__MIN","hl128-64_bs64_lr0.001_optmomentum - train_accuracy__MAX","hl128-64_bs64_lr0.001_optsgd - train_accuracy","hl128-64_bs64_lr0.001_optsgd - train_accuracy__MIN","hl128-64_bs64_lr0.001_optsgd - train_accuracy__MAX"
"10","0.8354314770932069","0.8354314770932069","0.8354314770932069","0.8310932563191153","0.8310932563191153","0.8310932563191153","0.8241323558451817","0.8241323558451817","0.8241323558451817","0.6596563981042654","0.6596563981042654","0.6596563981042654","0.661822422985782","0.661822422985782","0.661822422985782","0.27113571287519744","0.27113571287519744","0.27113571287519744"
"11","0.8353142278830964","0.8353142278830964","0.8353142278830964","0.8312290185624012","0.8312290185624012","0.8312290185624012","0.8231635071090048","0.8231635071090048","0.8231635071090048","0.664266143364929","0.664266143364929","0.664266143364929","0.6667036927330173","0.6667036927330173","0.6667036927330173","0.28653238546603477","0.28653238546603477","0.28653238546603477"
"12","0.8369310327804107","0.8369310327804107","0.8369310327804107","0.8328828495260664","0.8328828495260664","0.8328828495260664","0.8253603870458135","0.8253603870458135","0.8253603870458135","0.6686290481832543","0.6686290481832543","0.6686290481832543","0.6714985683254344","0.6714985683254344","0.6714985683254344","0.30121939178515006","0.30121939178515006","0.30121939178515006"
"13","0.8354006220379147","0.8354006220379147","0.8354006220379147","0.8339195793838863","0.8339195793838863","0.8339195793838863","0.8264958530805687","0.8264958530805687","0.8264958530805687","0.6740225118483413","0.6740225118483413","0.6740225118483413","0.6780089849921012","0.6780089849921012","0.6780089849921012","0.31788729265402843","0.31788729265402843","0.31788729265402843"
"14","0.8360979462875197","0.8360979462875197","0.8360979462875197","0.831852290679305","0.831852290679305","0.831852290679305","0.8268722847551343","0.8268722847551343","0.8268722847551343","0.6786692831753555","0.6786692831753555","0.6786692831753555","0.6829211097946287","0.6829211097946287","0.6829211097946287","0.33372210703001576","0.33372210703001576","0.33372210703001576"
"15","0.8362028534755135","0.8362028534755135","0.8362028534755135","0.8336295418641391","0.8336295418641391","0.8336295418641391","0.8269401658767772","0.8269401658767772","0.8269401658767772","0.6829581358609794","0.6829581358609794","0.6829581358609794","0.6884441646919431","0.6884441646919431","0.6884441646919431","0.3491187796208531","0.3491187796208531","0.3491187796208531"
"16","0.8368878357030016","0.8368878357030016","0.8368878357030016","0.8354376481042654","0.8354376481042654","0.8354376481042654","0.8273412815955766","0.8273412815955766","0.8273412815955766","0.6883886255924171","0.6883886255924171","0.6883886255924171","0.6930662519747235","0.6930662519747235","0.6930662519747235","0.364182217614534","0.364182217614534","0.364182217614534"
"17","0.8391032286729858","0.8391032286729858","0.8391032286729858","0.8346415876777251","0.8346415876777251","0.8346415876777251","0.8275078988941548","0.8275078988941548","0.8275078988941548","0.6929058056872038","0.6929058056872038","0.6929058056872038","0.6976451421800948","0.6976451421800948","0.6976451421800948","0.3788321978672986","0.3788321978672986","0.3788321978672986"
"18","0.8377024091627172","0.8377024091627172","0.8377024091627172","0.8348637440758294","0.8348637440758294","0.8348637440758294","0.8256689375987363","0.8256689375987363","0.8256689375987363","0.6972872235387045","0.6972872235387045","0.6972872235387045","0.7022363744075829","0.7022363744075829","0.7022363744075829","0.39274165679304895","0.39274165679304895","0.39274165679304895"
"19","0.8378381714060031","0.8378381714060031","0.8378381714060031","0.835554897314376","0.835554897314376","0.835554897314376","0.8286803909952607","0.8286803909952607","0.8286803909952607","0.7013354067930491","0.7013354067930491","0.7013354067930491","0.7068090936018957","0.7068090936018957","0.7068090936018957","0.4065585505529226","0.4065585505529226","0.4065585505529226"
