"Step","hl256-256-128-64_bs64_lr0.001_optadam - val_loss","hl256-256-128-64_bs64_lr0.001_optadam - val_loss__MIN","hl256-256-128-64_bs64_lr0.001_optadam - val_loss__MAX","hl256-128-64_bs64_lr0.001_optadam - val_loss","hl256-128-64_bs64_lr0.001_optadam - val_loss__MIN","hl256-128-64_bs64_lr0.001_optadam - val_loss__MAX","hl128-64_bs64_lr0.001_optadam - val_loss","hl128-64_bs64_lr0.001_optadam - val_loss__MIN","hl128-64_bs64_lr0.001_optadam - val_loss__MAX","hl128_bs64_lr0.001_optadam - val_loss","hl128_bs64_lr0.001_optadam - val_loss__MIN","hl128_bs64_lr0.001_optadam - val_loss__MAX"
"0","0.5822766740521158","0.5822766740521158","0.5822766740521158","0.5639561595391913","0.5639561595391913","0.5639561595391913","0.5125218498688089","0.5125218498688089","0.5125218498688089","0.5604539254989052","0.5604539254989052","0.5604539254989052"
"1","0.5504509953304186","0.5504509953304186","0.5504509953304186","0.5541994048163443","0.5541994048163443","0.5541994048163443","0.5642427991535441","0.5642427991535441","0.5642427991535441","0.5396806751207934","0.5396806751207934","0.5396806751207934"
"2","0.5401891922867982","0.5401891922867982","0.5401891922867982","0.5076909659078983","0.5076909659078983","0.5076909659078983","0.4967022644974747","0.4967022644974747","0.4967022644974747","0.5218188038018012","0.5218188038018012","0.5218188038018012"
"3","0.5162368882703975","0.5162368882703975","0.5162368882703975","0.5162398421506855","0.5162398421506855","0.5162398421506855","0.5009568749332256","0.5009568749332256","0.5009568749332256","0.5267179708946654","0.5267179708946654","0.5267179708946654"
"4","0.517874237170218","0.517874237170218","0.517874237170218","0.510204378452885","0.510204378452885","0.510204378452885","0.5196024249358392","0.5196024249358392","0.5196024249358392","0.5121127917967315","0.5121127917967315","0.5121127917967315"
"5","0.4918535324286298","0.4918535324286298","0.4918535324286298","0.4971714847734429","0.4971714847734429","0.4971714847734429","0.5238278334447268","0.5238278334447268","0.5238278334447268","0.533228693568164","0.533228693568164","0.533228693568164"
"6","0.5084143846651189","0.5084143846651189","0.5084143846651189","0.4889362895770822","0.4889362895770822","0.4889362895770822","0.512980134554549","0.512980134554549","0.512980134554549","0.5391773615823756","0.5391773615823756","0.5391773615823756"
"7","0.48718478334643983","0.48718478334643983","0.48718478334643983","0.49023283725833383","0.49023283725833383","0.49023283725833383","0.5104410632824047","0.5104410632824047","0.5104410632824047","0.5416438459982649","0.5416438459982649","0.5416438459982649"
"8","0.47748547925564644","0.47748547925564644","0.47748547925564644","0.49602942529932875","0.49602942529932875","0.49602942529932875","0.4988084887935493","0.4988084887935493","0.4988084887935493","0.5277503392743096","0.5277503392743096","0.5277503392743096"
"9","0.47844389559977774","0.47844389559977774","0.47844389559977774","0.48886943848923375","0.48886943848923375","0.48886943848923375","0.48141950607992245","0.48141950607992245","0.48141950607992245","0.5192469035619945","0.5192469035619945","0.5192469035619945"
"10","0.5015200610456324","0.5015200610456324","0.5015200610456324","0.5040930169210327","0.5040930169210327","0.5040930169210327","0.49925997491047397","0.49925997491047397","0.49925997491047397","0.5143623136387441","0.5143623136387441","0.5143623136387441"
"11","0.4540643752231139","0.4540643752231139","0.4540643752231139","0.4782868959378506","0.4782868959378506","0.4782868959378506","0.4916510637684659","0.4916510637684659","0.4916510637684659","0.5168664205666964","0.5168664205666964","0.5168664205666964"
"12","0.4600410245648637","0.4600410245648637","0.4600410245648637","0.4737083542758325","0.4737083542758325","0.4737083542758325","0.5056334482915207","0.5056334482915207","0.5056334482915207","0.6059227011101078","0.6059227011101078","0.6059227011101078"
"13","0.49125118857754796","0.49125118857754796","0.49125118857754796","0.4842205450543785","0.4842205450543785","0.4842205450543785","0.49530260498615597","0.49530260498615597","0.49530260498615597","0.5239408400939378","0.5239408400939378","0.5239408400939378"
"14","0.4654096540500333","0.4654096540500333","0.4654096540500333","0.4696100822780567","0.4696100822780567","0.4696100822780567","0.481515644418091","0.481515644418091","0.481515644418091","0.5004974552186248","0.5004974552186248","0.5004974552186248"
"15","0.4734467258800519","0.4734467258800519","0.4734467258800519","0.4665760558527947","0.4665760558527947","0.4665760558527947","0.4822039605001043","0.4822039605001043","0.4822039605001043","0.5027950768203072","0.5027950768203072","0.5027950768203072"
"16","0.4553615887260746","0.4553615887260746","0.4553615887260746","0.49514044321367356","0.49514044321367356","0.49514044321367356","0.5294309613022562","0.5294309613022562","0.5294309613022562","0.5072981576726503","0.5072981576726503","0.5072981576726503"
"17","0.4605657325464713","0.4605657325464713","0.4605657325464713","0.4684036223835026","0.4684036223835026","0.4684036223835026","0.498559575054851","0.498559575054851","0.498559575054851","0.509385036197343","0.509385036197343","0.509385036197343"
"18","0.48060872397251864","0.48060872397251864","0.48060872397251864","0.47601360140222393","0.47601360140222393","0.47601360140222393","0.4854954465026172","0.4854954465026172","0.4854954465026172","0.5075407196552815","0.5075407196552815","0.5075407196552815"
"19","0.4663253629835144","0.4663253629835144","0.4663253629835144","0.48005476258155716","0.48005476258155716","0.48005476258155716","0.5036777042909837","0.5036777042909837","0.5036777042909837","0.5010264503233414","0.5010264503233414","0.5010264503233414"
