"Step","hl256-256-128-64_bs64_lr0.001_optadam - train_accuracy","hl256-256-128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl256-256-128-64_bs64_lr0.001_optadam - train_accuracy__MAX","hl256-128-64_bs64_lr0.001_optadam - train_accuracy","hl256-128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl256-128-64_bs64_lr0.001_optadam - train_accuracy__MAX","hl128-64_bs64_lr0.001_optadam - train_accuracy","hl128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - train_accuracy__MAX","hl128_bs64_lr0.001_optadam - train_accuracy","hl128_bs64_lr0.001_optadam - train_accuracy__MIN","hl128_bs64_lr0.001_optadam - train_accuracy__MAX"
"0","0.7896425750394945","0.7896425750394945","0.7896425750394945","0.7951409458925751","0.7951409458925751","0.7951409458925751","0.797325483807267","0.797325483807267","0.797325483807267","0.7973995359399685","0.7973995359399685","0.7973995359399685"
"1","0.813962529620853","0.813962529620853","0.813962529620853","0.8157150967614534","0.8157150967614534","0.8157150967614534","0.8192695991311216","0.8192695991311216","0.8192695991311216","0.8177391883886256","0.8177391883886256","0.8177391883886256"
"2","0.8192942831753555","0.8192942831753555","0.8192942831753555","0.8165420122432859","0.8165420122432859","0.8165420122432859","0.8214417950236966","0.8214417950236966","0.8214417950236966","0.819084468799368","0.819084468799368","0.819084468799368"
"3","0.8212196386255924","0.8212196386255924","0.8212196386255924","0.8176034261453397","0.8176034261453397","0.8176034261453397","0.8222995655608215","0.8222995655608215","0.8222995655608215","0.8191153238546603","0.8191153238546603","0.8191153238546603"
"4","0.8260762243285941","0.8260762243285941","0.8260762243285941","0.8235707938388626","0.8235707938388626","0.8235707938388626","0.8240459616903633","0.8240459616903633","0.8240459616903633","0.8213060327804107","0.8213060327804107","0.8213060327804107"
"5","0.829149387835703","0.829149387835703","0.829149387835703","0.8256997926540285","0.8256997926540285","0.8256997926540285","0.8270882701421801","0.8270882701421801","0.8270882701421801","0.8189795616113744","0.8189795616113744","0.8189795616113744"
"6","0.8316980154028436","0.8316980154028436","0.8316980154028436","0.8252246248025277","0.8252246248025277","0.8252246248025277","0.8269648499210112","0.8269648499210112","0.8269648499210112","0.8237188981042654","0.8237188981042654","0.8237188981042654"
"7","0.8348945991311216","0.8348945991311216","0.8348945991311216","0.8292481240126381","0.8292481240126381","0.8292481240126381","0.8304638131911533","0.8304638131911533","0.8304638131911533","0.822416814770932","0.822416814770932","0.822416814770932"
"8","0.8363571287519747","0.8363571287519747","0.8363571287519747","0.8318584616903633","0.8318584616903633","0.8318584616903633","0.8287235880726699","0.8287235880726699","0.8287235880726699","0.8231326520537126","0.8231326520537126","0.8231326520537126"
"9","0.8368446386255924","0.8368446386255924","0.8368446386255924","0.8319201718009479","0.8319201718009479","0.8319201718009479","0.8292419530015799","0.8292419530015799","0.8292419530015799","0.8216207543443917","0.8216207543443917","0.8216207543443917"
"10","0.8394858313586098","0.8394858313586098","0.8394858313586098","0.8333580173775671","0.8333580173775671","0.8333580173775671","0.8311179403633491","0.8311179403633491","0.8311179403633491","0.8236880430489731","0.8236880430489731","0.8236880430489731"
"11","0.8394488052922591","0.8394488052922591","0.8394488052922591","0.8341911038704581","0.8341911038704581","0.8341911038704581","0.8301799466824644","0.8301799466824644","0.8301799466824644","0.8274338467614534","0.8274338467614534","0.8274338467614534"
"12","0.8395783965244865","0.8395783965244865","0.8395783965244865","0.8363941548183254","0.8363941548183254","0.8363941548183254","0.8324323657187993","0.8324323657187993","0.8324323657187993","0.8259589751184834","0.8259589751184834","0.8259589751184834"
"13","0.8402572077409163","0.8402572077409163","0.8402572077409163","0.8365977981832543","0.8365977981832543","0.8365977981832543","0.8336171998420221","0.8336171998420221","0.8336171998420221","0.8286742199842022","0.8286742199842022","0.8286742199842022"
"14","0.8406459814375988","0.8406459814375988","0.8406459814375988","0.837659212085308","0.837659212085308","0.837659212085308","0.8330371248025277","0.8330371248025277","0.8330371248025277","0.8275387539494471","0.8275387539494471","0.8275387539494471"
"15","0.8401523005529226","0.8401523005529226","0.8401523005529226","0.8369989139020537","0.8369989139020537","0.8369989139020537","0.8336110288309637","0.8336110288309637","0.8336110288309637","0.828834666271722","0.828834666271722","0.828834666271722"
"16","0.8422257602685623","0.8422257602685623","0.8422257602685623","0.8363694707740916","0.8363694707740916","0.8363694707740916","0.834709468799368","0.834709468799368","0.834709468799368","0.830544036334913","0.830544036334913","0.830544036334913"
"17","0.8428428613744076","0.8428428613744076","0.8428428613744076","0.8367150473933649","0.8367150473933649","0.8367150473933649","0.8347279818325434","0.8347279818325434","0.8347279818325434","0.8278349624802528","0.8278349624802528","0.8278349624802528"
"18","0.8436204087677726","0.8436204087677726","0.8436204087677726","0.8384552725118484","0.8384552725118484","0.8384552725118484","0.8346786137440758","0.8346786137440758","0.8346786137440758","0.8293900572669827","0.8293900572669827","0.8293900572669827"
"19","0.8424540876777251","0.8424540876777251","0.8424540876777251","0.8381590639810427","0.8381590639810427","0.8381590639810427","0.8343021820695102","0.8343021820695102","0.8343021820695102","0.8295566745655608","0.8295566745655608","0.8295566745655608"
