"Step","hl256-256-128-64_bs64_lr0.001_optadam - train_loss","hl256-256-128-64_bs64_lr0.001_optadam - train_loss__MIN","hl256-256-128-64_bs64_lr0.001_optadam - train_loss__MAX","hl256-128-64_bs64_lr0.001_optadam - train_loss","hl256-128-64_bs64_lr0.001_optadam - train_loss__MIN","hl256-128-64_bs64_lr0.001_optadam - train_loss__MAX","hl128-64_bs64_lr0.001_optadam - train_loss","hl128-64_bs64_lr0.001_optadam - train_loss__MIN","hl128-64_bs64_lr0.001_optadam - train_loss__MAX","hl128_bs64_lr0.001_optadam - train_loss","hl128_bs64_lr0.001_optadam - train_loss__MIN","hl128_bs64_lr0.001_optadam - train_loss__MAX"
"0","0.6323406614547933","0.6323406614547933","0.6323406614547933","0.6121167917471843","0.6121167917471843","0.6121167917471843","0.6054389409965639","0.6054389409965639","0.6054389409965639","0.6174402692798576","0.6174402692798576","0.6174402692798576"
"1","0.5427377943164031","0.5427377943164031","0.5427377943164031","0.5416020715558623","0.5416020715558623","0.5416020715558623","0.5328956965103502","0.5328956965103502","0.5328956965103502","0.5437726351585939","0.5437726351585939","0.5437726351585939"
"2","0.5256798148337346","0.5256798148337346","0.5256798148337346","0.5362157237428467","0.5362157237428467","0.5362157237428467","0.5235327229057072","0.5235327229057072","0.5235327229057072","0.535828390991027","0.535828390991027","0.535828390991027"
"3","0.5174213348576119","0.5174213348576119","0.5174213348576119","0.5265404978596361","0.5265404978596361","0.5265404978596361","0.517840938947091","0.517840938947091","0.517840938947091","0.5347468355907111","0.5347468355907111","0.5347468355907111"
"4","0.5052576701367285","0.5052576701367285","0.5052576701367285","0.5138570682254763","0.5138570682254763","0.5138570682254763","0.5154434985060744","0.5154434985060744","0.5154434985060744","0.5299180361778856","0.5299180361778856","0.5299180361778856"
"5","0.49728295365910297","0.49728295365910297","0.49728295365910297","0.5081642012673239","0.5081642012673239","0.5081642012673239","0.5084833930675006","0.5084833930675006","0.5084833930675006","0.5290561618142443","0.5290561618142443","0.5290561618142443"
"6","0.4896576638310588","0.4896576638310588","0.4896576638310588","0.5055965248736093","0.5055965248736093","0.5055965248736093","0.5063774777711948","0.5063774777711948","0.5063774777711948","0.5245185189198757","0.5245185189198757","0.5245185189198757"
"7","0.4835213571699543","0.4835213571699543","0.4835213571699543","0.4985666661303058","0.4985666661303058","0.4985666661303058","0.5019961244212844","0.5019961244212844","0.5019961244212844","0.5224149449519586","0.5224149449519586","0.5224149449519586"
"8","0.4795740163138947","0.4795740163138947","0.4795740163138947","0.49333923157610465","0.49333923157610465","0.49333923157610465","0.5016691209118318","0.5016691209118318","0.5016691209118318","0.5232889383880173","0.5232889383880173","0.5232889383880173"
"9","0.4768582979664042","0.4768582979664042","0.4768582979664042","0.48788905597269666","0.48788905597269666","0.48788905597269666","0.4999744367392699","0.4999744367392699","0.4999744367392699","0.5223695228695198","0.5223695228695198","0.5223695228695198"
"10","0.47300934291467533","0.47300934291467533","0.47300934291467533","0.483439088916422","0.483439088916422","0.483439088916422","0.496704473172717","0.496704473172717","0.496704473172717","0.5173473538580099","0.5173473538580099","0.5173473538580099"
"11","0.4719842051724408","0.4719842051724408","0.4719842051724408","0.48389798933352374","0.48389798933352374","0.48389798933352374","0.49723809469704483","0.49723809469704483","0.49723809469704483","0.5146582532944476","0.5146582532944476","0.5146582532944476"
"12","0.4721488363122842","0.4721488363122842","0.4721488363122842","0.48219537291100045","0.48219537291100045","0.48219537291100045","0.49065009046716074","0.49065009046716074","0.49065009046716074","0.5147008542969266","0.5147008542969266","0.5147008542969266"
"13","0.4693071036050478","0.4693071036050478","0.4693071036050478","0.48025970405497737","0.48025970405497737","0.48025970405497737","0.4899704237373226","0.4899704237373226","0.4899704237373226","0.5106566176073475","0.5106566176073475","0.5106566176073475"
"14","0.46751831712611186","0.46751831712611186","0.46751831712611186","0.4751842196818418","0.4751842196818418","0.4751842196818418","0.489563562967805","0.489563562967805","0.489563562967805","0.5111232808215891","0.5111232808215891","0.5111232808215891"
"15","0.466285742778046","0.466285742778046","0.466285742778046","0.4764830085307074","0.4764830085307074","0.4764830085307074","0.4869084140844291","0.4869084140844291","0.4869084140844291","0.5085229546041279","0.5085229546041279","0.5085229546041279"
"16","0.46429414861294227","0.46429414861294227","0.46429414861294227","0.4773505366363082","0.4773505366363082","0.4773505366363082","0.4853802849236948","0.4853802849236948","0.4853802849236948","0.5087408441777956","0.5087408441777956","0.5087408441777956"
"17","0.45984408118730274","0.45984408118730274","0.45984408118730274","0.4771746787359421","0.4771746787359421","0.4771746787359421","0.48687957561725215","0.48687957561725215","0.48687957561725215","0.5087170317295006","0.5087170317295006","0.5087170317295006"
"18","0.46233452002859554","0.46233452002859554","0.46233452002859554","0.4753659009622054","0.4753659009622054","0.4753659009622054","0.4876452933350511","0.4876452933350511","0.4876452933350511","0.5059479017079298","0.5059479017079298","0.5059479017079298"
"19","0.46115196671211506","0.46115196671211506","0.46115196671211506","0.4754662412241941","0.4754662412241941","0.4754662412241941","0.4865274699173944","0.4865274699173944","0.4865274699173944","0.5061565580312825","0.5061565580312825","0.5061565580312825"
