"Step","hl128-64_bs64_lr0.001_optadam - train_loss","hl128-64_bs64_lr0.001_optadam - train_loss__MIN","hl128-64_bs64_lr0.001_optadam - train_loss__MAX"
"0","0.8325995553348471","0.6053397494139546","1.286420143609745"
"1","0.7042467953585597","0.5295565324849151","1.0356140356835337"
"2","0.6862856419833606","0.5188162906795595","1.0009984662233116"
"3","0.6792091143156953","0.5138390547676251","0.988276555556826"
"4","0.6738623999468585","0.5103920792331034","0.9828579488288118"
"5","0.6702426686054131","0.5075029152690498","0.9771245998234401"
"6","0.6685114472350614","0.5034160511349877","0.9784713867676943"
"7","0.6647901880259219","0.4977535366987746","0.9773344418602714"
"8","0.6659138317434333","0.4999933286253105","0.9763715902162415"
"9","0.6645237261948882","0.49725552656854144","0.976809368308407"
"10","0.6611972090011927","0.4933978731032867","0.9752589078841387"
"11","0.6609133959603904","0.49216306478462957","0.9747420008870172"
"12","0.6599085211448976","0.490339501965553","0.9737373419320141"
"13","0.6583871826190153","0.48818682552671605","0.973845609199442"
"14","0.658353188537757","0.48662077246889146","0.9737022074316547"
"15","0.6582191519379008","0.4869103747339093","0.9745726308989181"
"16","0.657586362939964","0.4867314324464041","0.972772085462432"
"17","0.6569900434371778","0.48525142783800573","0.9735093355290373"
"18","0.6587948419394167","0.48716080353279606","0.9743325422956283"
"19","0.6566363480805749","0.48470617550700634","0.9728734651429023"
