"Step","hl128-64_bs64_lr0.001_optadam - val_loss","hl128-64_bs64_lr0.001_optadam - val_loss__MIN","hl128-64_bs64_lr0.001_optadam - val_loss__MAX"
"0","0.7205274792447778","0.5336820850221341","1.0854399849642795"
"1","0.6803401466103183","0.50256948162556","1.0104197359057754"
"2","0.6910210677108221","0.5287079476596385","1.0058666936455152"
"3","0.6783576556529574","0.5028173419966505","0.9869621934333063"
"4","0.6832313468976806","0.5156618902534343","0.9799850174534089"
"5","0.6765010868870968","0.5194595714844741","0.9885054081422913"
"6","0.6581637356729817","0.4908542736255495","0.9839804054347658"
"7","0.6640922634054273","0.5025644450461851","0.9770632984687978"
"8","0.6652916111985784","0.4975168899260937","0.985693389450061"
"9","0.6652340199374164","0.48540658428952627","0.986909178119641"
"10","0.6663361086467939","0.5041726459572377","0.9804739292628678"
"11","0.6641501069707044","0.5025640256244375","0.9736406847854508"
"12","0.6558621519916757","0.48482821790907604","0.9728023559815794"
"13","0.6600937852070768","0.49227753173764194","0.9869483238400213"
"14","0.653782412689597","0.48291813001460765","0.9818400940396111"
"15","0.6535637967937139","0.4865394163004318","0.9713974694188381"
"16","0.6599299471641807","0.47794376874298933","0.977972237678195"
"17","0.6638385136716545","0.490364808082896","0.9831932993053866"
"18","0.6568880666721565","0.4793890034054339","0.9709072797938962"
"19","0.6598311361451293","0.4942074715339706","0.965015996137998"
