"Step","hl128-64_bs64_lr0.001_optadam - train_accuracy","hl128-64_bs64_lr0.001_optadam - train_accuracy__MIN","hl128-64_bs64_lr0.001_optadam - train_accuracy__MAX"
"0","0.7281422788309637","0.5900288803317536","0.7979487559241706"
"1","0.7623193950763559","0.6533372827804107","0.8200224624802528"
"2","0.7687968996840442","0.6656361078199052","0.8236757010268562"
"3","0.7709999506319115","0.6699373025276462","0.8250024684044234"
"4","0.7728039428646656","0.6718256319115324","0.8256565955766192"
"5","0.7748650605581885","0.6758676441548183","0.8262860387045813"
"6","0.7750337348604529","0.6729734399684044","0.8284952606635071"
"7","0.776685508820432","0.6737077902843602","0.8314758590047393"
"8","0.775731059110058","0.6728191646919431","0.8299701323064771"
"9","0.7767657319641916","0.6741521030805687","0.830803218799368"
"10","0.7786478903370195","0.6763057859399685","0.8323891686413902"
"11","0.7778024618220116","0.6744112855450237","0.8321670122432859"
"12","0.7785841232227488","0.6772252665876777","0.833043295813586"
"13","0.7793143595313322","0.6763860090837283","0.8333518463665087"
"14","0.7795056608741443","0.6768118088467614","0.8353574249605055"
"15","0.7788556477093208","0.6750468996840443","0.834135564770932"
"16","0.7788145076355977","0.6743866015007899","0.8344687993680884"
"17","0.7800857359136387","0.6766513625592417","0.8351908076619273"
"18","0.778545040152712","0.6760034063981043","0.8330864928909952"
"19","0.7799993417588205","0.6767871248025277","0.8363509577409163"
